Frequency(Hz),Impedance
2.04E+06,2.063488456
2.04E+06,2.061812496
2.04E+06,2.060144918
2.04E+06,2.058474283
2.05E+06,2.056787012
2.05E+06,2.05510116
2.05E+06,2.053419383
2.05E+06,2.051723429
2.06E+06,2.050014358
2.06E+06,2.048317124
2.06E+06,2.046590103
2.06E+06,2.044903153
2.07E+06,2.043164829
2.07E+06,2.041457486
2.07E+06,2.03973567
2.07E+06,2.03799904
2.08E+06,2.036273259
2.08E+06,2.034525935
2.08E+06,2.032800092
2.08E+06,2.031050171
2.09E+06,2.029306218
2.09E+06,2.027539174
2.09E+06,2.025800779
2.09E+06,2.024010921
2.10E+06,2.022278458
2.10E+06,2.020500063
2.10E+06,2.018719159
2.10E+06,2.016942983
2.11E+06,2.015166387
2.11E+06,2.013364618
2.11E+06,2.011583491
2.11E+06,2.009764163
2.12E+06,2.007972269
2.12E+06,2.00615897
2.12E+06,2.00433545
2.12E+06,2.002526874
2.13E+06,2.000692566
2.13E+06,1.998866021
2.13E+06,1.99704339
2.13E+06,1.995204902
2.14E+06,1.993337211
2.14E+06,1.991500536
2.14E+06,1.989625403
2.14E+06,1.987762746
2.15E+06,1.985901077
2.15E+06,1.984038716
2.15E+06,1.982163381
2.15E+06,1.980273468
2.16E+06,1.97836108
2.16E+06,1.976494296
2.16E+06,1.974597552
2.16E+06,1.972701246
2.17E+06,1.970776862
2.17E+06,1.968841629
2.17E+06,1.966922078
2.17E+06,1.964999393
2.18E+06,1.963077473
2.18E+06,1.961132605
2.18E+06,1.959180722
2.18E+06,1.957216021
2.19E+06,1.955274184
2.19E+06,1.953317872
2.19E+06,1.9513416
2.19E+06,1.949353085
2.20E+06,1.947355082
2.20E+06,1.945383277
2.20E+06,1.94337947
2.20E+06,1.941368506
2.21E+06,1.939385009
2.21E+06,1.937362935
2.21E+06,1.935331972
2.21E+06,1.933290419
2.22E+06,1.93126368
2.22E+06,1.92921176
2.22E+06,1.9271702
2.22E+06,1.925110516
2.23E+06,1.923026808
2.23E+06,1.920961044
2.23E+06,1.91888763
2.23E+06,1.916796385
2.24E+06,1.914699747
2.24E+06,1.91262727
2.24E+06,1.910508656
2.24E+06,1.908375754
2.25E+06,1.90625914
2.25E+06,1.904130105
2.25E+06,1.901966571
2.25E+06,1.899841679
2.26E+06,1.897690443
2.26E+06,1.895512641
2.26E+06,1.893347725
2.26E+06,1.891160701
2.27E+06,1.888968533
2.27E+06,1.886777631
2.27E+06,1.884578116
2.27E+06,1.882329375
2.28E+06,1.880158098
2.28E+06,1.877905679
2.28E+06,1.875669334
2.28E+06,1.873419272
2.29E+06,1.871150832
2.29E+06,1.868904714
2.29E+06,1.866618513
