Frequency(Hz),Impedance
2.03E+06,2.06497197
2.03E+06,2.063307376
2.04E+06,2.061606357
2.04E+06,2.059920257
2.04E+06,2.058251509
2.04E+06,2.056553211
2.05E+06,2.054876444
2.05E+06,2.053167398
2.05E+06,2.051458906
2.05E+06,2.049782085
2.06E+06,2.048076371
2.06E+06,2.046357612
2.06E+06,2.044612338
2.06E+06,2.042904904
2.07E+06,2.04117891
2.07E+06,2.039456703
2.07E+06,2.037725254
2.07E+06,2.035972299
2.08E+06,2.034237385
2.08E+06,2.032494214
2.08E+06,2.030741451
2.08E+06,2.028979546
2.09E+06,2.02723435
2.09E+06,2.025468641
2.09E+06,2.023698603
2.09E+06,2.021900946
2.10E+06,2.02010934
2.10E+06,2.018339935
2.10E+06,2.016547378
2.10E+06,2.014773148
2.11E+06,2.012964466
2.11E+06,2.011157484
2.11E+06,2.009335154
2.11E+06,2.00752504
2.12E+06,2.005721588
2.12E+06,2.003894091
2.12E+06,2.002074491
2.12E+06,2.00023478
2.13E+06,1.998394539
2.13E+06,1.996558275
2.13E+06,1.994720658
2.13E+06,1.99283636
2.14E+06,1.990979795
2.14E+06,1.989113731
2.14E+06,1.987265915
2.14E+06,1.985364972
2.15E+06,1.983483162
2.15E+06,1.981610209
2.15E+06,1.979716378
2.15E+06,1.977822581
2.16E+06,1.975915757
2.16E+06,1.974006914
2.16E+06,1.972097839
2.16E+06,1.970173321
2.17E+06,1.968243187
2.17E+06,1.96630921
2.17E+06,1.964374933
2.17E+06,1.962436495
2.18E+06,1.960489251
2.18E+06,1.958520582
2.18E+06,1.956580657
2.18E+06,1.954588993
2.19E+06,1.95260289
2.19E+06,1.950627552
2.19E+06,1.948654383
2.19E+06,1.946656338
2.20E+06,1.944641211
2.20E+06,1.942644472
2.20E+06,1.940621149
2.20E+06,1.938596814
2.21E+06,1.936586113
2.21E+06,1.934538882
2.21E+06,1.932506709
2.21E+06,1.930446896
2.22E+06,1.928418824
2.22E+06,1.926325741
2.22E+06,1.924285234
2.22E+06,1.922202499
2.23E+06,1.920130231
2.23E+06,1.918024871
2.23E+06,1.915933911
2.23E+06,1.913827541
2.24E+06,1.911692522
2.24E+06,1.909595001
2.24E+06,1.907445281
2.24E+06,1.905323808
2.25E+06,1.903166941
2.25E+06,1.901032402
2.25E+06,1.898854224
2.25E+06,1.896689146
2.26E+06,1.894521711
2.26E+06,1.892320455
2.26E+06,1.890132416
2.26E+06,1.887962829
2.27E+06,1.885742016
2.27E+06,1.883504545
2.27E+06,1.881291271
2.27E+06,1.879055236
2.28E+06,1.876819951
2.28E+06,1.874556191
2.28E+06,1.872301411
2.28E+06,1.870045444
2.29E+06,1.867751324
2.29E+06,1.865464632
2.29E+06,1.863162194
2.29E+06,1.860854415
2.30E+06,1.85854793
2.30E+06,1.856215697
2.30E+06,1.853858756
2.30E+06,1.851512712
2.31E+06,1.849164038
2.31E+06,1.846809894
2.31E+06,1.844434478
2.31E+06,1.84202999
2.32E+06,1.839649835
2.32E+06,1.83725249
2.32E+06,1.834857013
2.32E+06,1.83241733
2.33E+06,1.82995452
2.33E+06,1.827506618
2.33E+06,1.825045663
2.33E+06,1.822563811
2.34E+06,1.82009971
2.34E+06,1.817601536
2.34E+06,1.81510539
2.34E+06,1.812583657
2.35E+06,1.81006869
2.35E+06,1.807506874
2.35E+06,1.804972661
2.35E+06,1.802396751
2.36E+06,1.799831311
2.36E+06,1.797220974
2.36E+06,1.794639502
2.36E+06,1.792012911
2.37E+06,1.789387042
2.37E+06,1.786746027
2.37E+06,1.784071139
2.37E+06,1.781432099
2.38E+06,1.778749731
2.38E+06,1.776054436
2.38E+06,1.773361544
2.38E+06,1.770639844
2.39E+06,1.767896238
2.39E+06,1.765140735
2.39E+06,1.762385134
2.39E+06,1.759608103
2.40E+06,1.756819728
2.40E+06,1.753996001
2.40E+06,1.751204611
2.40E+06,1.748350628
2.41E+06,1.745500556
2.41E+06,1.742622967
2.41E+06,1.739751217
2.41E+06,1.736842183
2.42E+06,1.733928127
2.42E+06,1.730998529
2.42E+06,1.728044376
2.42E+06,1.725089293
2.43E+06,1.722096157
2.43E+06,1.719096043
2.43E+06,1.716056797
2.43E+06,1.713034312
2.44E+06,1.709981296
2.44E+06,1.706904816
2.44E+06,1.703836155
2.44E+06,1.700711859
2.45E+06,1.697578932
2.45E+06,1.694452044
2.45E+06,1.691254579
2.45E+06,1.688068987
2.46E+06,1.684881038
2.46E+06,1.68165507
2.46E+06,1.678395645
2.46E+06,1.675137185
2.47E+06,1.67185094
2.47E+06,1.668533079
2.47E+06,1.665195096
2.47E+06,1.66183122
2.48E+06,1.658470472
2.48E+06,1.655066892
2.48E+06,1.65164549
2.48E+06,1.648179649
2.49E+06,1.644706556
2.49E+06,1.641222629
2.49E+06,1.637702099
2.49E+06,1.634157058
2.50E+06,1.630598799
2.50E+06,1.627005504
2.50E+06,1.623359443
2.50E+06,1.619715905
2.51E+06,1.616044559
2.51E+06,1.612318146
2.51E+06,1.608597549
2.51E+06,1.604836178
2.52E+06,1.601044382
2.52E+06,1.597226865
2.52E+06,1.59339167
2.52E+06,1.589486147
2.53E+06,1.585564343
2.53E+06,1.581640564
2.53E+06,1.577672186
2.53E+06,1.573652482
2.54E+06,1.569617479
2.54E+06,1.565549674
2.54E+06,1.561434546
2.54E+06,1.55728882
2.55E+06,1.55311222
2.55E+06,1.548896454
2.55E+06,1.544645146
2.55E+06,1.54034722
2.56E+06,1.535999892
2.56E+06,1.531643244
2.56E+06,1.527252715
2.56E+06,1.5227771
2.57E+06,1.518294064
2.57E+06,1.513764445
2.57E+06,1.509187678
2.57E+06,1.504573614
2.58E+06,1.499912675
2.58E+06,1.495173881
2.58E+06,1.490434017
2.58E+06,1.485639969
2.59E+06,1.480769279
2.59E+06,1.475825216
2.59E+06,1.470879237
2.59E+06,1.465877077
2.60E+06,1.460802006
2.60E+06,1.455705541
2.60E+06,1.450500308
2.60E+06,1.445278666
2.61E+06,1.439988548
2.61E+06,1.434632881
2.61E+06,1.429204226
2.61E+06,1.423736869
2.62E+06,1.418191013
2.62E+06,1.41258457
2.62E+06,1.406898764
2.62E+06,1.401169034
2.63E+06,1.395353256
2.63E+06,1.389446864
2.63E+06,1.383489728
