,principal_component1,principal_component2
1653675535,-0.8463622108760523,-0.05607314867533122
1653675535,-0.8463622108760523,-0.05607314867533122
1653675535,-0.8471666565958116,-0.05810105285660184
1653675535,-0.8463622108760523,-0.05607314867533122
1653675536,-0.8463622108760523,-0.05607314867533122
1653675536,-0.8463622108760523,-0.05607314867533122
1653675536,-0.8471666565958116,-0.05810105285660184
1653675536,-0.8471666565958116,-0.05810105285660184
1653675537,-0.8471666565958116,-0.05810105285660184
1653675537,-0.8471666565958116,-0.05810105285660184
1653675537,-0.8471666565958116,-0.05810105285660184
1653675537,-0.8471666565958116,-0.05810105285660184
1653675537,-0.8471666565958116,-0.05810105285660184
1653675538,-0.8471666565958116,-0.05810105285660184
1653675538,-0.8471666565958116,-0.05810105285660184
1653675538,-0.8471666565958116,-0.05810105285660184
1653675538,-0.8463622108760523,-0.05607314867533122
1653675539,-0.8471666565958116,-0.05810105285660184
1653675539,-0.8471666565958116,-0.05810105285660184
1653675539,-0.8471666565958116,-0.05810105285660184
1653675539,-0.8471666565958116,-0.05810105285660184
1653675540,-0.8471666565958116,-0.05810105285660184
1653675540,-0.8471666565958116,-0.05810105285660184
1653675540,-0.8463622108760523,-0.05607314867533122
1653675540,-0.8463622108760523,-0.05607314867533122
1653675541,-0.8463622108760523,-0.05607314867533122
1653675541,-0.8471666565958116,-0.05810105285660184
1653675541,-0.8471666565958116,-0.05810105285660184
1653675541,-0.8471666565958116,-0.05810105285660184
1653675542,-0.8471666565958116,-0.05810105285660184
1653675542,-0.8471666565958116,-0.05810105285660184
1653675542,-0.8471666565958116,-0.05810105285660184
1653675542,-0.8471666565958116,-0.05810105285660184
1653675542,-0.8471666565958116,-0.05810105285660184
1653675543,-0.8471666565958116,-0.05810105285660184
1653675543,-0.8471666565958116,-0.05810105285660184
1653675543,-0.8471666565958116,-0.05810105285660184
1653675543,-0.8471666565958116,-0.05810105285660184
1653675544,-0.8463622108760523,-0.05607314867533122
1653675544,-0.8463622108760523,-0.05607314867533122
1653675544,-0.8471666565958116,-0.05810105285660184
1653675544,-0.8463622108760523,-0.05607314867533122
1653675545,-0.8463622108760523,-0.05607314867533122
1653675545,-0.8463622108760523,-0.05607314867533122
1653675545,-0.8471666565958116,-0.05810105285660184
1653675545,-0.8471666565958116,-0.05810105285660184
1653675546,-0.8471666565958116,-0.05810105285660184
1653675546,-0.8471666565958116,-0.05810105285660184
1653675546,-0.8471666565958116,-0.05810105285660184
1653675546,-0.8471666565958116,-0.05810105285660184
1653675546,-0.8471666565958116,-0.05810105285660184
1653675547,-0.8471666565958116,-0.05810105285660184
1653675547,-0.8471666565958116,-0.05810105285660184
1653675547,-0.8471666565958116,-0.05810105285660184
1653675547,-0.8471666565958116,-0.05810105285660184
1653675548,-0.8471666565958116,-0.05810105285660184
1653675548,-0.8471666565958116,-0.05810105285660184
1653675548,-0.8200618396942227,0.018378916741135346
1653675548,-0.7621417478715602,0.16438801779261952
1653675549,-0.7621417478715602,0.16438801779261952
1653675549,-0.7621417478715602,0.16438801779261952
1653675549,-0.4448783637071234,0.9804726242635846
1653675549,-0.4448783637071234,0.9804726242635846
1653675550,-0.4448783637071234,0.9804726242635846
1653675550,-0.4456828094268826,0.9784447200823139
1653675550,-0.4448783637071234,0.9804726242635846
1653675550,-0.4448783637071234,0.9804726242635846
1653675550,-0.4448783637071234,0.9804726242635846
1653675551,0.5195188821663687,0.6252124066030055
1653675551,2.166473009069837,-0.02688329005191828
1653675551,2.166473009069837,-0.02688329005191828
1653675551,2.165352869277027,-0.026410900799180785
1653675552,2.1674611183645123,-0.027275426784143898
1653675552,2.1674611183645123,-0.027275426784143898
1653675552,2.1674611183645123,-0.027275426784143898
1653675552,2.1677111135276452,-0.027397464840139545
1653675553,2.1677649683156983,-0.027417578992095806
1653675553,2.1677649683156983,-0.027417578992095806
1653675553,2.1685235926250197,-0.027690792131468005
1653675553,2.1687713660768795,-0.030132504428491812
1653675554,2.1687713660768795,-0.030132504428491812
1653675554,2.1687713660768795,-0.030132504428491812
1653675554,2.1690531168173095,-0.027914958178816427
1653675554,2.169637699962307,-0.030445945871776656
1653675555,2.169637699962307,-0.030445945871776656
1653675555,2.168707673773458,-0.03009548949138111
1653675555,2.168879493226509,-0.030157389178821135
1653675555,2.168879493226509,-0.030157389178821135
1653675555,2.168879493226509,-0.030157389178821135
1653675556,2.1680670141291336,-0.029864061887492677
1653675556,2.1680670141291336,-0.029864061887492677
1653675556,2.1680670141291336,-0.029864061887492677
1653675556,2.1696937764616346,-0.028146385782704758
1653675557,2.1680670141291336,-0.029864061887492677
1653675557,2.1680670141291336,-0.029864061887492677
1653675557,2.1680670141291336,-0.029864061887492677
1653675557,2.1687615285615114,-0.030115603643337385
1653675558,2.170452400770957,-0.028419598922077117
1653675558,2.170452400770957,-0.028419598922077117
1653675558,2.1690653785126974,-0.03025775585128919
1653675558,2.169117226694254,-0.02793662956234407
1653675559,2.169117226694254,-0.02793662956234407
1653675559,2.169117226694254,-0.02793662956234407
1653675559,2.1693449075418547,-0.030359883842642023
1653675559,2.1708639602982505,-0.028601979433941726
1653675560,2.1708639602982505,-0.028601979433941726
1653675560,2.1694090174187988,-0.030381555226169452
1653675560,2.169594902704988,-0.03048192189863776
1653675560,2.169594902704988,-0.03048192189863776
1653675560,2.1705271506051114,-0.028512704038005137
1653675561,2.171403739579431,-0.028827702712861197
1653675561,2.171403739579431,-0.028827702712861197
1653675561,2.171403739579431,-0.028827702712861197
1653675561,2.171761444318671,-0.028989969072769538
